variable_name,source_file,source_module,line,declared_type,attributes,dimensions,is_parameter,target_file,target_module,target_module_purpose,proposed_rename,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
NYEP1,src/core/state/AL_D.f90,AL_D,109,INTEGER,,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,1,src/frame/FRmod.f90,0,,Capacity helper value `NYE+1`.
NoZQTables,src/core/state/AL_D.f90,AL_D,110,INTEGER,,,False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,2,src/overland_channel/OCQDQMOD.F90;src/overland_channel/ZQmod.f90,0,,Number of reservoir ZQ tables read from `zqd`.
ZQTableRef,src/core/state/AL_D.f90,AL_D,111,INTEGER,,,False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,2,src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod2.f90,0,,Index of the ZQ table selected for the current link-face calculation.
NXE,src/core/state/AL_D.f90,AL_D,112,INTEGER,PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/frame/FRmod.f90,0,,Legacy x workspace capacity alias.
NYE,src/core/state/AL_D.f90,AL_D,113,INTEGER,PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/frame/FRmod.f90,0,,Legacy y workspace capacity alias.
NSTEP,src/core/state/AL_D.f90,AL_D,116,INTEGER,,,False,src/core/simulation_clock.f90,simulation_clock,"Simulation time, timestep number and the coupled ET/VSS step lengths.",,3,src/Shetran.f90;src/driver/rest.f90;src/driver/run_sim.f90,0,,Current coupled simulation timestep number.
NRPD,src/core/state/AL_D.f90,AL_D,117,INTEGER,,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Legacy precipitation-record counter.
NSMT,src/core/state/AL_D.f90,AL_D,118,INTEGER,,,False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,2,src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current ET/snowmelt coupling control for one element.
MBYEAR,src/core/state/AL_D.f90,AL_D,119,INTEGER,,,False,src/driver/water_balance.f90,water_balance,Catchment water-balance accumulation and reporting schedule.,,1,src/frame/FRmod.f90,0,,Calendar year of the next mass-balance report.
MBMON,src/core/state/AL_D.f90,AL_D,120,INTEGER,,,False,src/driver/water_balance.f90,water_balance,Catchment water-balance accumulation and reporting schedule.,,1,src/frame/FRmod.f90,0,,Calendar month of the next mass-balance report.
MBDAY,src/core/state/AL_D.f90,AL_D,121,INTEGER,,,False,src/driver/water_balance.f90,water_balance,Catchment water-balance accumulation and reporting schedule.,,1,src/frame/FRmod.f90,0,,Calendar day of the next mass-balance report.
PSTART,src/core/state/AL_D.f90,AL_D,125,DOUBLEPRECISION,,,False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Simulation-relative start time for legacy printed/result output (h).
DTMET,src/core/state/AL_D.f90,AL_D,126,DOUBLEPRECISION,,,False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Combined meteorological input interval (h).
QMAX,src/core/state/AL_D.f90,AL_D,127,DOUBLEPRECISION,,,False,src/overland_channel/oc_state.f90,oc_state,"Water levels, face discharges, roughness and flow derivatives.",,2,src/frame/FRmod.f90;src/overland_channel/OCmod.f90,0,,Maximum permitted overland/channel face discharge magnitude (m3/s); nonpositive disables the check.
BHOTTI,src/core/state/AL_D.f90,AL_D,128,DOUBLEPRECISION,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Requested/read hotstart time (h).
BHOTST,src/core/state/AL_D.f90,AL_D,129,DOUBLEPRECISION,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,2,src/driver/run_sim.f90;src/frame/FRmod.f90,0,,Interval between hotstart outputs (h).
PMAX,src/core/state/AL_D.f90,AL_D,130,DOUBLEPRECISION,,,False,src/driver/timestep_control.f90,timestep_control,Chooses the next coupled timestep from forcing and error feedback.,,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Maximum rainfall depth permitted in one model timestep (mm).
PALFA,src/core/state/AL_D.f90,AL_D,131,DOUBLEPRECISION,,,False,src/driver/timestep_control.f90,timestep_control,Chooses the next coupled timestep from forcing and error feedback.,,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Fractional timestep growth factor used by `TMSTEP`.
TMAX,src/core/state/AL_D.f90,AL_D,132,DOUBLEPRECISION,,,False,src/driver/timestep_control.f90,timestep_control,Chooses the next coupled timestep from forcing and error feedback.,,3,src/driver/rest.f90;src/driver/run_sim.f90;src/frame/FRmod.f90,0,,"Maximum/basic coupled model timestep, capped at two hours (h)."
CAREA,src/core/state/AL_D.f90,AL_D,133,DOUBLEPRECISION,,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Total active catchment plan area (m2).
BWIDTH,src/core/state/AL_D.f90,AL_D,134,DOUBLEPRECISION,,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90,0,,Nominal explicit-bank width used in frame geometry (m).
TTH,src/core/state/AL_D.f90,AL_D,135,DOUBLEPRECISION,,,False,src/core/simulation_clock.f90,simulation_clock,"Simulation time, timestep number and the coupled ET/VSS step lengths.",,3,src/driver/run_sim.f90;src/frame/FRmod.f90;src/subsurface/VSmod.f90,0,,Simulation end as an absolute hour count (h).
DTMET2,src/core/state/AL_D.f90,AL_D,136,DOUBLEPRECISION,,,False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Separate precipitation input interval (h).
DTMET3,src/core/state/AL_D.f90,AL_D,137,DOUBLEPRECISION,,,False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Separate potential-evaporation input interval (h).
TOUTPUT,src/core/state/AL_D.f90,AL_D,138,DOUBLEPRECISION,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Interval for regular text/CSV outputs; defaults to 24 h (h).
UZVAL,src/core/state/AL_D.f90,AL_D,141,DOUBLEPRECISION,,,False,src/core/simulation_clock.f90,simulation_clock,"Simulation time, timestep number and the coupled ET/VSS step lengths.",,1,src/frame/FRmod.f90,0,,Next upper-zone/VSS solution time used in hotstart handling (h).
OCNOW,src/core/state/AL_D.f90,AL_D,142,DOUBLEPRECISION,,,False,src/overland_channel/oc_state.f90,oc_state,"Water levels, face discharges, roughness and flow derivatives.",,3,src/driver/run_sim.f90;src/frame/FRmod.f90;src/overland_channel/OCmod.f90,0,,Start time of the current overland/channel step (h).
OCNEXT,src/core/state/AL_D.f90,AL_D,143,DOUBLEPRECISION,,,False,src/overland_channel/oc_state.f90,oc_state,"Water levels, face discharges, roughness and flow derivatives.",,2,src/driver/run_sim.f90;src/overland_channel/OCmod.f90,0,,Duration of the current overland/channel step (h).
HRUZ,src/core/state/AL_D.f90,AL_D,144,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,1,src/evapotranspiration/ETmod.f90,0,,Current element's surface-water depth workspace (m).
PNET,src/core/state/AL_D.f90,AL_D,145,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's net throughfall rate workspace (mm/s).
PE,src/core/state/AL_D.f90,AL_D,146,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,4,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's available potential-evaporation rate (mm/s).
EINT,src/core/state/AL_D.f90,AL_D,147,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's canopy-interception evaporation over the step (mm).
ERZ,src/core/state/AL_D.f90,AL_D,148,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's root-zone extraction rate workspace (mm/s).
DRAIN,src/core/state/AL_D.f90,AL_D,149,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,2,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90,0,,Current element's canopy drainage over the step (mm).
ESOIL,src/core/state/AL_D.f90,AL_D,150,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's soil-evaporation rate workspace (mm/s).
AE,src/core/state/AL_D.f90,AL_D,151,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current cell's actual-evapotranspiration rate workspace (mm/s).
CSTOLD,src/core/state/AL_D.f90,AL_D,152,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,2,src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current element's canopy storage at step start (mm).
CPLAI,src/core/state/AL_D.f90,AL_D,153,DOUBLEPRECISION,,,False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,2,src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,"Current element's intercepted-area fraction, `min(CLAI,1)*PLAI`."
PREST,src/core/state/AL_D.f90,AL_D,154,DOUBLEPRECISION,,,False,src/driver/timestep_control.f90,timestep_control,Chooses the next coupled timestep from forcing and error feedback.,,1,src/frame/FRmod.f90,0,,Unused legacy value set to `1+PALFA` during frame initialization.
TIMEUZ,src/core/state/AL_D.f90,AL_D,155,DOUBLEPRECISION,,,False,src/core/simulation_clock.f90,simulation_clock,"Simulation time, timestep number and the coupled ET/VSS step lengths.",,5,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Current elapsed ET/snow/VSS model time (h).
HOTIME,src/core/state/AL_D.f90,AL_D,156,DOUBLEPRECISION,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,2,src/driver/run_sim.f90;src/frame/FRmod.f90,0,,Current/last hotstart time (h).
BEXET,src/core/state/AL_D.f90,AL_D,159,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether evapotranspiration is active; current frame setup always sets true.
BEXUZ,src/core/state/AL_D.f90,AL_D,160,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether the legacy upper-zone process is active; current frame setup always sets true.
BEXEX,src/core/state/AL_D.f90,AL_D,161,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether legacy exchange is active; current frame setup always sets true.
BEXOC,src/core/state/AL_D.f90,AL_D,162,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether overland/channel flow is active; current frame setup always sets true.
BEXSZ,src/core/state/AL_D.f90,AL_D,163,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether saturated-zone flow is active; current frame setup always sets true.
BEXSM,src/core/state/AL_D.f90,AL_D,164,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,3,src/driver/rest.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90,0,,Whether snowmelt is enabled by FR25.
BEXTS1,src/core/state/AL_D.f90,AL_D,165,LOGICAL,,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy first time-series extension switch.
BHOTPR,src/core/state/AL_D.f90,AL_D,166,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,2,src/driver/run_sim.f90;src/frame/FRmod.f90,0,,Whether periodic hotstart output is enabled.
BHOTRD,src/core/state/AL_D.f90,AL_D,167,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,3,src/driver/rest.f90;src/driver/run_sim.f90;src/frame/FRmod.f90,0,,Whether initial state is read from the hotstart file.
BEXSY,src/core/state/AL_D.f90,AL_D,168,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,3,src/driver/run_sim.f90;src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Whether sediment transport is enabled by FR25.
BEXCM,src/core/state/AL_D.f90,AL_D,169,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,3,src/driver/run_sim.f90;src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Whether contaminant transport is enabled by FR25.
ISTA,src/core/state/AL_D.f90,AL_D,170,LOGICAL,,,False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,2,src/driver/rest.f90;src/frame/FRmod.f90,0,,Whether separate maximum/minimum air-temperature streams are available.
isextradis,src/core/state/AL_D.f90,AL_D,171,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether the extra-discharge point-selection input is available.
iszq,src/core/state/AL_D.f90,AL_D,172,LOGICAL,,,False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,1,src/frame/FRmod.f90,0,,Whether reservoir ZQ-table routing is enabled.
isextrapsl,src/core/state/AL_D.f90,AL_D,173,LOGICAL,,,False,src/frame/run_control.f90,run_control,"Run title, component-enable switches, hotstart settings and print flags.",,1,src/frame/FRmod.f90,0,,Whether the extra phreatic-surface point-selection input is available.
NGRID,src/core/state/AL_D.f90,AL_D,176,INTEGER,,(NELEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,1,src/frame/FRmod.f90,0,,Legacy element list zeroed by `FRIND` and not subsequently read.
INGRID,src/core/state/AL_D.f90,AL_D,177,INTEGER,,"(NXEE,NYEE)",False,src/core/grid_topology.f90,grid_topology,"Active grid extent, element/coordinate lookup and face connectivity.",,1,src/frame/FRmod.f90,0,,Catchment mask: zero inside the active catchment and -1 outside.
IOCORS,src/core/state/AL_D.f90,AL_D,178,INTEGER,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Contaminant/sediment selector for each legacy result set.
NMC,src/core/state/AL_D.f90,AL_D,179,INTEGER,,(NELEE),False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,4,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Meteorological-site category by element.
LCODEX,src/core/state/AL_D.f90,AL_D,180,INTEGER,,"(NXEE,NYEE)",False,src/overland_channel/oc_state.f90,oc_state,"Water levels, face discharges, roughness and flow derivatives.",,2,src/frame/FRmod.f90;src/overland_channel/OCmod.f90,0,,X-face overland/channel topology code grid.
IODATA,src/core/state/AL_D.f90,AL_D,181,INTEGER,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Data-type number for each legacy result set.
NRAINC,src/core/state/AL_D.f90,AL_D,182,INTEGER,,(NELEE),False,src/meteorology/met_forcing.f90,met_forcing,"Current meteorological forcing values, station mapping and input intervals.",,4,src/driver/rest.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Rainfall-station category by element.
LCODEY,src/core/state/AL_D.f90,AL_D,183,INTEGER,,"(NXEE,NYEE)",False,src/overland_channel/oc_state.f90,oc_state,"Water levels, face discharges, roughness and flow derivatives.",,2,src/frame/FRmod.f90;src/overland_channel/OCmod.f90,0,,Y-face overland/channel topology code grid.
IOELEM,src/core/state/AL_D.f90,AL_D,184,INTEGER,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Positive element number or negative element-class number by legacy result set.
NOCBCC,src/core/state/AL_D.f90,AL_D,185,INTEGER,,(NELEE),False,src/overland_channel/oc_boundaries.f90,oc_boundaries,Time-varying stage and flow boundary conditions.,,3,src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90,0,,Overland/channel boundary-condition record number by element.
NOCBCD,src/core/state/AL_D.f90,AL_D,186,INTEGER,,"(NOCTAB,4)",False,src/overland_channel/oc_boundaries.f90,oc_boundaries,Time-varying stage and flow boundary conditions.,,3,src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90,0,,"OC boundary records: element, face, boundary type, and time-series category."
IORES,src/core/state/AL_D.f90,AL_D,187,INTEGER,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Open unformatted output unit by legacy result set.
ICLIST,src/core/state/AL_D.f90,AL_D,188,INTEGER,,"(NELEE,NCLASS)",False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Element numbers belonging to each legacy output class.
NEXPO,src/core/state/AL_D.f90,AL_D,189,INTEGER,,"(NLFEE,2)",False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy link-exposure array.
ICLNUM,src/core/state/AL_D.f90,AL_D,190,INTEGER,,(NCLASS),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Number of elements in each legacy output class.
ZQTableLink,src/core/state/AL_D.f90,AL_D,191,INTEGER,"DIMENSION(:), ALLOCATABLE",(:),False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,2,src/overland_channel/OCQDQMOD.F90;src/overland_channel/ZQmod.f90,0,,Channel-link number for each ZQ table.
ZQTableFace,src/core/state/AL_D.f90,AL_D,192,INTEGER,"DIMENSION(:), ALLOCATABLE",(:),False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,2,src/overland_channel/OCQDQMOD.F90;src/overland_channel/ZQmod.f90,0,,Channel-link face number for each ZQ table.
NSMC,src/core/state/AL_D.f90,AL_D,194,INTEGER,,(NELEE),False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,4,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Number of meltwater slugs still travelling through each snowpack.
FLERRC,src/core/state/AL_D.f90,AL_D,196,INTEGER,,(0:100),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,1,src/driver/rest.f90,0,,Legacy flow error counts read at shutdown; no current producer was found.
SYERRC,src/core/state/AL_D.f90,AL_D,197,INTEGER,,(0:100),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,1,src/driver/rest.f90,0,,Legacy sediment error counts read at shutdown; no current producer was found.
CMERRC,src/core/state/AL_D.f90,AL_D,198,INTEGER,,(0:100),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,1,src/driver/rest.f90,0,,Legacy contaminant error counts read at shutdown; no current producer was found.
DXIN,src/core/state/AL_D.f90,AL_D,201,DOUBLEPRECISION,,(NXEE),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Grid-centre spacing in the x direction; active entries are `1:NX-1` (m).
DYIN,src/core/state/AL_D.f90,AL_D,202,DOUBLEPRECISION,,(NYEE),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Grid-centre spacing in the y direction; active entries are `1:NY-1` (m).
WIDTF,src/core/state/AL_D.f90,AL_D,203,DOUBLEPRECISION,,(NLFEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy link face-width array.
ZBED,src/core/state/AL_D.f90,AL_D,204,DOUBLEPRECISION,,(NELEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy impermeable-bed elevation array.
HFLBED,src/core/state/AL_D.f90,AL_D,205,DOUBLEPRECISION,,(NLFEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy link-bed head array.
ZFBED,src/core/state/AL_D.f90,AL_D,206,DOUBLEPRECISION,,(NLFEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy link-bed elevation array.
DZFBED,src/core/state/AL_D.f90,AL_D,207,DOUBLEPRECISION,,(NLFEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy link-bed elevation-difference array.
LROOT,src/core/state/AL_D.f90,AL_D,208,DOUBLEPRECISION,,(NVEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy root-depth array.
HFLBNK,src/core/state/AL_D.f90,AL_D,209,DOUBLEPRECISION,,(NLFEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy bank-head array.
IOSTA,src/core/state/AL_D.f90,AL_D,210,DOUBLEPRECISION,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Start time for each legacy result set (h).
IOSTEP,src/core/state/AL_D.f90,AL_D,211,DOUBLEPRECISION,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,Output interval for each legacy result set (h).
IOEND,src/core/state/AL_D.f90,AL_D,212,DOUBLEPRECISION,,(NSETEE),False,src/frame/legacy_result_files.f90,legacy_result_files,Legacy unformatted result-set metadata and writers.,,1,src/frame/FRmod.f90,0,,End time for each legacy result set (h).
RHOSAR,src/core/state/AL_D.f90,AL_D,213,DOUBLEPRECISION,,(NELEE),False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,2,src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Snow relative-density/specific-gravity state by element.
ZQweirSill,src/core/state/AL_D.f90,AL_D,214,DOUBLEPRECISION,"DIMENSION(:), ALLOCATABLE",(:),False,src/overland_channel/zq_tables.f90,zq_tables,Reservoir and weir stage-discharge lookup tables.,,2,src/overland_channel/OCmod2.f90;src/overland_channel/ZQmod.f90,0,,Weir-sill elevation for each ZQ table (m).
CSTORE,src/core/state/AL_D.f90,AL_D,217,DOUBLEPRECISION,,(NELEE),False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,5,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Canopy interception storage by element (mm).
ERZA,src/core/state/AL_D.f90,AL_D,218,DOUBLEPRECISION,,(NELEE),False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Root-zone extraction rate by element (m/s).
EPOT,src/core/state/AL_D.f90,AL_D,219,DOUBLEPRECISION,,(NELEE),False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,4,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Potential-evaporation rate by element (m/s).
EINTA,src/core/state/AL_D.f90,AL_D,220,DOUBLEPRECISION,,(NELEE),False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Canopy-interception evaporation rate by element (m/s).
EPOTR,src/core/state/AL_D.f90,AL_D,221,DOUBLEPRECISION,,(NVEE),False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive legacy potential-evaporation array by vegetation type.
SD,src/core/state/AL_D.f90,AL_D,222,DOUBLEPRECISION,,(NELEE),False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,6,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90;src/visualisation/visualisation_interface_left.f90,0,,Snowpack depth by element (mm of snow).
TS,src/core/state/AL_D.f90,AL_D,223,DOUBLEPRECISION,,(NELEE),False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,4,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Snowpack temperature by element (degrees C).
SF,src/core/state/AL_D.f90,AL_D,224,DOUBLEPRECISION,,(NELEE),False,src/snow/snow_state.f90,snow_state,"Snowpack depth, temperature, density and meltwater-slug state.",,4,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/snow/SMmod.f90,0,,Current snowfall depth by element (mm of snow).
S,src/core/state/AL_D.f90,AL_D,225,DOUBLEPRECISION,,(LLEE),False,src/evapotranspiration/et_state.f90,et_state,"Canopy, vegetation and evaporation state shared with other components.",,3,src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/snow/SMmod.f90,0,,Current column's volumetric root/soil extraction sink by VSS cell (s-1).
